seed,feature,weight,mean_sigmoid_derivative,mrs_nm_per_unit_at_learned_budget
20260921,log_lag4_refuels,2.237157106399536,0.012794005684554577,3.677042245864868
20260921,lag4_refuel_share,5.061868667602539,0.012794005684554577,151.3964385986328
20260921,log_lag4_calls,1.0462085008621216,0.012794005684554577,1.5633769035339355
20260921,lag4_berth_h,-4.405458927154541,0.012794005684554577,-0.41510501503944397
20260922,log_lag4_refuels,2.3379311561584473,0.012766619212925434,3.83445143699646
20260922,lag4_refuel_share,5.102655410766602,0.012766619212925434,152.28965759277344
20260922,log_lag4_calls,0.8635184168815613,0.012766619212925434,1.28761625289917
20260922,lag4_berth_h,-4.620959758758545,0.012766619212925434,-0.4344785511493683
20260923,log_lag4_refuels,2.743581771850586,0.013481740839779377,4.751814365386963
20260923,lag4_refuel_share,4.2650909423828125,0.013481740839779377,134.42266845703125
20260923,log_lag4_calls,0.45025718212127686,0.013481740839779377,0.7089988589286804
20260923,lag4_berth_h,-2.9992620944976807,0.013481740839779377,-0.29779720306396484
20260924,log_lag4_refuels,2.7487099170684814,0.013364695943892002,4.719365119934082
20260924,lag4_refuel_share,4.336501121520996,0.013364695943892002,135.4867401123047
20260924,log_lag4_calls,0.4184059500694275,0.013364695943892002,0.6531243324279785
20260924,lag4_berth_h,-3.2559099197387695,0.013364695943892002,-0.32047319412231445
20260925,log_lag4_refuels,2.3615574836730957,0.012887582182884216,3.9098989963531494
20260925,lag4_refuel_share,5.003835201263428,0.012887582182884216,150.75534057617188
20260925,log_lag4_calls,0.7941426634788513,0.012887582182884216,1.1953879594802856
20260925,lag4_berth_h,-4.357702732086182,0.012887582182884216,-0.4136083126068115
