fine_tune_epochs,validation_nll,model,events,candidate_recall,top1_end_to_end,top3_end_to_end,top5_end_to_end,mrr_end_to_end,conditional_top1,conditional_top5,habit_change_events,change_precision,change_recall,change_f1
0,1.2196190330924386,redsea_epoch_0,12456,0.9852280025690431,0.6404945407835582,0.8926621708413616,0.9377007064868337,0.7685239315868314,0.6500977835723598,0.9517601043024772,9359,0.8873196659073652,0.940901771336554,0.913325517780383
1,1.2101984953440177,redsea_epoch_1,12456,0.9852280025690431,0.6428227360308285,0.8881663455362877,0.9367373153500321,0.7697640000870848,0.652460886571056,0.9507822685788787,9359,0.8871974425331101,0.9384863123993559,0.9121214492526801
3,1.2106021039792632,redsea_epoch_3,12456,0.9852280025690431,0.6429833012202955,0.8891297366730893,0.9366570327552987,0.7699794136700077,0.6526238591916558,0.9507007822685789,9359,0.8871802679658952,0.9383252818035427,0.912036312411958
5,1.2111504849994932,redsea_epoch_5,12456,0.9852280025690431,0.642903018625562,0.8890494540783558,0.9366570327552987,0.7698663559220753,0.652542372881356,0.9507007822685789,9359,0.8871974425331101,0.9384863123993559,0.9121214492526801
