model,events,candidate_recall,top1_end_to_end,top3_end_to_end,top5_end_to_end,mrr_end_to_end,conditional_top1,conditional_top5,habit_change_events,change_precision,change_recall,change_f1
seed_20260921,23296,0.9843320741758241,0.6274896978021978,0.8486435439560439,0.931146978021978,0.7540540154476127,0.6374776503423314,0.9459683398020148,14960,0.9344401873137506,0.9474274861878453,0.9408890222469887
seed_20260922,23296,0.9843320741758241,0.6272750686813187,0.8482142857142857,0.931146978021978,0.7539421258839164,0.6372596049016616,0.9459683398020148,14960,0.9345714772533651,0.9469958563535912,0.9407426464282651
seed_20260923,23296,0.9843320741758241,0.6270175137362637,0.8484718406593407,0.9311899038461539,0.7537818065603629,0.6369979503728577,0.9460119488901487,14960,0.9342991052407329,0.9464779005524862,0.9403490715725374
seed_20260924,23296,0.9843320741758241,0.6270175137362637,0.8480855082417582,0.9313616071428571,0.7536720974586892,0.6369979503728577,0.9461863852426846,14960,0.9343731356004432,0.9463915745856354,0.9403439550542523
seed_20260925,23296,0.9843320741758241,0.6269745879120879,0.8488581730769231,0.9318337912087912,0.7538301336142396,0.6369543412847237,0.9466660852121582,14960,0.9344751192910702,0.9467368784530387,0.940566037735849
