cohort,scenario,method,model,events,candidate_recall,top1_end_to_end,top3_end_to_end,top5_end_to_end,mrr_end_to_end,conditional_top1,conditional_top5,habit_change_events,change_precision,change_recall,change_f1
all_events,normal_network,shortest,shortest_normal_network_all_events,23296,0.9843320741758241,0.3833276098901099,0.7586280906593407,0.8271806318681318,0.5847167484812834,0.38942915703632636,0.8403471283415463,14960,0.8515144613983148,0.9683183701657458,0.9061679524982833
all_events,normal_network,fixed50,fixed50_normal_network_all_events,23296,0.9843320741758241,0.6258585164835165,0.8393715659340659,0.8916552197802198,0.7450473302100117,0.6358205049932406,0.905847978718765,14960,0.9332541769145959,0.9499309392265194,0.9415187165775402
all_events,normal_network,learned_global,learned_global_normal_network_all_events,23296,0.9843320741758241,0.6266311813186813,0.8483430631868132,0.9312757554945055,0.7536707385220414,0.636605468579652,0.9460991670664166,14960,0.9344010904753791,0.9468232044198895,0.9405711345510677
all_events,hormuz_blocked_network,shortest,shortest_hormuz_blocked_network_all_events,23296,0.9843320741758241,0.3833276098901099,0.7586710164835165,0.8271806318681318,0.5847224352357681,0.38942915703632636,0.8403471283415463,14960,0.8515144613983148,0.9683183701657458,0.9061679524982833
all_events,hormuz_blocked_network,fixed50,fixed50_hormuz_blocked_network_all_events,23296,0.9843320741758241,0.6258585164835165,0.8393715659340659,0.8916552197802198,0.7450492995320107,0.6358205049932406,0.905847978718765,14960,0.9332541769145959,0.9499309392265194,0.9415187165775402
all_events,hormuz_blocked_network,learned_global,learned_global_hormuz_blocked_network_all_events,23296,0.9843320741758241,0.6266311813186813,0.8483430631868132,0.9312757554945055,0.7536799794980792,0.636605468579652,0.9460991670664166,14960,0.9344010904753791,0.9468232044198895,0.9405711345510677
historically_hormuz_exposed,normal_network,shortest,shortest_normal_network_historically_hormuz_exposed,863,0.9872537659327926,0.3870220162224797,0.8099652375434531,0.8597914252607184,0.6100383160691799,0.392018779342723,0.8708920187793427,515,0.9195876288659793,0.9955357142857143,0.9560557341907824
historically_hormuz_exposed,normal_network,fixed50,fixed50_normal_network_historically_hormuz_exposed,863,0.9872537659327926,0.6303592120509849,0.8725376593279258,0.9188876013904983,0.7584059009167261,0.6384976525821596,0.9307511737089202,515,0.9543478260869566,0.9799107142857143,0.9669603524229075
historically_hormuz_exposed,normal_network,learned_global,learned_global_normal_network_historically_hormuz_exposed,863,0.9872537659327926,0.626882966396292,0.8794901506373117,0.936268829663963,0.7592751300456977,0.6349765258215962,0.9483568075117371,515,0.9543478260869566,0.9799107142857143,0.9669603524229075
historically_hormuz_exposed,hormuz_blocked_network,shortest,shortest_hormuz_blocked_network_historically_hormuz_exposed,863,0.9872537659327926,0.3870220162224797,0.8099652375434531,0.8597914252607184,0.6100705035289457,0.392018779342723,0.8708920187793427,515,0.9195876288659793,0.9955357142857143,0.9560557341907824
historically_hormuz_exposed,hormuz_blocked_network,fixed50,fixed50_hormuz_blocked_network_historically_hormuz_exposed,863,0.9872537659327926,0.6303592120509849,0.8725376593279258,0.9188876013904983,0.7584380883764916,0.6384976525821596,0.9307511737089202,515,0.9543478260869566,0.9799107142857143,0.9669603524229075
historically_hormuz_exposed,hormuz_blocked_network,learned_global,learned_global_hormuz_blocked_network_historically_hormuz_exposed,863,0.9872537659327926,0.626882966396292,0.8794901506373117,0.936268829663963,0.7595004422640577,0.6349765258215962,0.9483568075117371,515,0.9543478260869566,0.9799107142857143,0.9669603524229075
