split,budget_nm,model,events,candidate_recall,top1_end_to_end,top3_end_to_end,top5_end_to_end,mrr_end_to_end,conditional_top1,conditional_top5,habit_change_events,change_precision,change_recall,change_f1
validation,50.0,budget_50.0,4880,0.9918032786885246,0.6608606557377049,0.871516393442623,0.9122950819672131,0.7743799424174288,0.6663223140495868,0.9198347107438016,4471,0.8432939541348159,0.9331026528258363,0.8859280890673481
validation,55.0,budget_55.0,4880,0.9918032786885246,0.673155737704918,0.8739754098360656,0.9151639344262295,0.7818386301818622,0.6787190082644629,0.9227272727272727,4471,0.8521647307286166,0.9307958477508651,0.8897464167585446
validation,60.0,budget_60.0,4880,0.9918032786885246,0.6739754098360655,0.878483606557377,0.9170081967213115,0.7830249997009455,0.6795454545454546,0.9245867768595041,4471,0.8527131782945736,0.9304113802383699,0.8898694612980327
validation,65.0,budget_65.0,4880,0.9918032786885246,0.6747950819672132,0.8786885245901639,0.9172131147540984,0.7839157692529676,0.6803719008264463,0.9247933884297521,4471,0.853013746915756,0.9304113802383699,0.8900331004045605
validation,70.0,budget_70.0,4880,0.9918032786885246,0.6752049180327869,0.8788934426229508,0.9172131147540984,0.7844554967685948,0.6807851239669421,0.9247933884297521,4471,0.8536155202821869,0.9304113802383699,0.8903605592347315
validation,75.0,budget_75.0,4880,0.9918032786885246,0.675,0.8782786885245901,0.9174180327868853,0.7841010164055261,0.6805785123966942,0.925,4471,0.853013746915756,0.9304113802383699,0.8900331004045605
validation,80.0,budget_80.0,4880,0.9918032786885246,0.6756147540983607,0.8782786885245901,0.9182377049180328,0.7844473260713114,0.681198347107438,0.9258264462809918,4471,0.853013746915756,0.9304113802383699,0.8900331004045605
validation,85.0,budget_85.0,4880,0.9918032786885246,0.6752049180327869,0.8776639344262295,0.9186475409836066,0.7842809566323922,0.6807851239669421,0.9262396694214876,4471,0.8524128214159915,0.9304113802383699,0.8897058823529411
validation,90.0,budget_90.0,4880,0.9918032786885246,0.6756147540983607,0.8778688524590164,0.9180327868852459,0.7843879462927468,0.681198347107438,0.9256198347107438,4471,0.8524128214159915,0.9304113802383699,0.8897058823529411
validation,95.0,budget_95.0,4880,0.9918032786885246,0.675,0.8782786885245901,0.9180327868852459,0.7842574562795724,0.6805785123966942,0.9256198347107438,4471,0.8521647307286166,0.9307958477508651,0.8897464167585446
validation,100.0,budget_100.0,4880,0.9918032786885246,0.6754098360655738,0.8776639344262295,0.9297131147540983,0.786204720952544,0.6809917355371901,0.937396694214876,4471,0.8521647307286166,0.9307958477508651,0.8897464167585446
validation,105.0,budget_105.0,4880,0.9918032786885246,0.6758196721311476,0.8766393442622951,0.9301229508196721,0.786479354946924,0.6814049586776859,0.9378099173553719,4471,0.8522167487684729,0.9311803152633602,0.8899503950027559
validation,110.0,budget_110.0,4880,0.9918032786885246,0.6747950819672132,0.8762295081967213,0.9309426229508196,0.7861475420236513,0.6803719008264463,0.9386363636363636,4471,0.8518648838845884,0.9307958477508651,0.8895829505787249
validation,115.0,budget_115.0,4880,0.9918032786885246,0.675,0.8752049180327869,0.9342213114754099,0.7865728901475663,0.6805785123966942,0.9419421487603306,4471,0.8518127419922562,0.9304113802383699,0.8893789048144065
validation,120.0,budget_120.0,4880,0.9918032786885246,0.675,0.8797131147540984,0.9362704918032787,0.7874463819790498,0.6805785123966942,0.9440082644628099,4471,0.8518127419922562,0.9304113802383699,0.8893789048144065
validation,125.0,budget_125.0,4880,0.9918032786885246,0.673155737704918,0.8801229508196722,0.9366803278688525,0.7865796858689342,0.6787190082644629,0.9444214876033058,4471,0.8517605633802817,0.9300269127258747,0.8891747840470502
validation,130.0,budget_130.0,4880,0.9918032786885246,0.6729508196721311,0.8797131147540984,0.9375,0.7863280727369555,0.6785123966942149,0.9452479338842975,4471,0.8520084566596194,0.9296424452133795,0.8891340319911748
validation,135.0,budget_135.0,4880,0.9918032786885246,0.673155737704918,0.8834016393442623,0.9370901639344262,0.7868749002709089,0.6787190082644629,0.9448347107438017,4471,0.8520605847129271,0.9300269127258747,0.8893382352941176
validation,140.0,budget_140.0,4880,0.9918032786885246,0.673155737704918,0.8825819672131148,0.9375,0.7874442711059183,0.6787190082644629,0.9452479338842975,4471,0.8517605633802817,0.9300269127258747,0.8891747840470502
validation,145.0,budget_145.0,4880,0.9918032786885246,0.6737704918032786,0.8823770491803279,0.9377049180327869,0.7878268327430638,0.6793388429752066,0.9454545454545454,4471,0.8517605633802817,0.9300269127258747,0.8891747840470502
validation,150.0,budget_150.0,4880,0.9918032786885246,0.6735655737704918,0.8879098360655737,0.9375,0.7882291063574274,0.6791322314049587,0.9452479338842975,4471,0.8517605633802817,0.9300269127258747,0.8891747840470502
validation,155.0,budget_155.0,4880,0.9918032786885246,0.6741803278688525,0.8885245901639345,0.9375,0.7885930398486798,0.6797520661157025,0.9452479338842975,4471,0.8520605847129271,0.9300269127258747,0.8893382352941176
validation,160.0,budget_160.0,4880,0.9918032786885246,0.6743852459016394,0.8875,0.9372950819672131,0.7886742736462227,0.6799586776859504,0.9450413223140496,4471,0.8523608174770966,0.9300269127258747,0.8895017466446038
validation,165.0,budget_165.0,4880,0.9918032786885246,0.6745901639344263,0.8872950819672131,0.9375,0.7888273252728283,0.6801652892561983,0.9452479338842975,4471,0.8523608174770966,0.9300269127258747,0.8895017466446038
validation,170.0,budget_170.0,4880,0.9918032786885246,0.6741803278688525,0.8870901639344262,0.9389344262295082,0.7885532079366281,0.6797520661157025,0.9466942148760331,4471,0.8517605633802817,0.9300269127258747,0.8891747840470502
validation,175.0,budget_175.0,4880,0.9918032786885246,0.6735655737704918,0.8901639344262295,0.9389344262295082,0.7884334639252258,0.6791322314049587,0.9466942148760331,4471,0.8514607532558958,0.9300269127258747,0.8890113928702683
validation,180.0,budget_180.0,4880,0.9918032786885246,0.673155737704918,0.8967213114754098,0.9397540983606557,0.7889284520667225,0.6787190082644629,0.9475206611570248,4471,0.8514607532558958,0.9300269127258747,0.8890113928702683
validation,185.0,budget_185.0,4880,0.9918032786885246,0.6733606557377049,0.8971311475409836,0.9395491803278688,0.7890946069467455,0.6789256198347108,0.9473140495867769,4471,0.8517605633802817,0.9300269127258747,0.8891747840470502
validation,190.0,budget_190.0,4880,0.9918032786885246,0.6729508196721311,0.8975409836065574,0.9405737704918032,0.7891878323299568,0.6785123966942149,0.9483471074380165,4471,0.8517083480098626,0.9296424452133795,0.8889705882352941
validation,195.0,budget_195.0,4880,0.9918032786885246,0.6725409836065573,0.8973360655737705,0.9407786885245901,0.788896431507954,0.678099173553719,0.9485537190082645,4471,0.8516560958421423,0.9292579777008843,0.8887663173377459
validation,200.0,budget_200.0,4880,0.9918032786885246,0.6727459016393442,0.8993852459016394,0.946516393442623,0.7898323626078195,0.6783057851239669,0.9543388429752067,4471,0.851956291857596,0.9292579777008843,0.8889297535858771
hormuz_test_descriptive,0.0,budget_0.0,23296,0.9843320741758241,0.3833276098901099,0.7586710164835165,0.8271806318681318,0.5847224352357681,0.38942915703632636,0.8403471283415463,14960,0.8515144613983148,0.9683183701657458,0.9061679524982833
hormuz_test_descriptive,5.0,budget_5.0,23296,0.9843320741758241,0.5763650412087912,0.7838684752747253,0.8409598214285714,0.6958310845025446,0.5855392263747765,0.8543456456325498,14960,0.9237189117008847,0.9554558011049724,0.9393193583976915
hormuz_test_descriptive,10.0,budget_10.0,23296,0.9843320741758241,0.5843063186813187,0.8014680631868132,0.8529361263736264,0.7066519491325066,0.5936069076795604,0.8665125812219266,14960,0.9238676249373224,0.9543335635359116,0.9388535031847134
hormuz_test_descriptive,15.0,budget_15.0,23296,0.9843320741758241,0.5842633928571429,0.8048592032967034,0.8543956043956044,0.707525939617551,0.5935632985914264,0.8679952902184815,14960,0.9245772643562699,0.9534703038674033,0.9388015299617509
hormuz_test_descriptive,20.0,budget_20.0,23296,0.9843320741758241,0.6103622939560439,0.8265367445054945,0.8768458104395604,0.7311688685066251,0.6200776241768785,0.8908028433125463,14960,0.9286978508217446,0.9512258287292817,0.9398268582881999
hormuz_test_descriptive,25.0,budget_25.0,23296,0.9843320741758241,0.6201064560439561,0.8301425137362637,0.881095467032967,0.7373461478772179,0.629976887183289,0.8951201430378091,14960,0.9315914087603585,0.9510531767955801,0.9412217001281503
hormuz_test_descriptive,30.0,budget_30.0,23296,0.9843320741758241,0.6226390796703297,0.834478021978022,0.8839714972527473,0.7396695201909563,0.6325498233831931,0.8980419519427849,14960,0.9326166088207907,0.9510531767955801,0.9417446681198445
hormuz_test_descriptive,35.0,budget_35.0,23296,0.9843320741758241,0.6233258928571429,0.8373540521978022,0.8859031593406593,0.7411084260234614,0.6332475687933365,0.9000043609088134,14960,0.9327517574320319,0.9507078729281768,0.9416442221367193
hormuz_test_descriptive,40.0,budget_40.0,23296,0.9843320741758241,0.6256868131868132,0.8387706043956044,0.8868904532967034,0.7437911220525967,0.6356460686407047,0.9010073699358946,14960,0.9335198846773509,0.9503625690607734,0.9418659366043547
hormuz_test_descriptive,45.0,budget_45.0,23296,0.9843320741758241,0.6260302197802198,0.8385559752747253,0.8914835164835165,0.7443324885403095,0.6359949413457765,0.9056735423662291,14960,0.9333559437001865,0.9502762430939227,0.94174009752759
hormuz_test_descriptive,50.0,budget_50.0,23296,0.9843320741758241,0.6258585164835165,0.8393715659340659,0.8916552197802198,0.7450492995320107,0.6358205049932406,0.905847978718765,14960,0.9332541769145959,0.9499309392265194,0.9415187165775402
hormuz_test_descriptive,55.0,budget_55.0,23296,0.9843320741758241,0.6262448489010989,0.8394574175824175,0.8937156593406593,0.7455625910335905,0.6362129867864463,0.9079412149491954,14960,0.9335652469031054,0.9498446132596685,0.9416345742404792
hormuz_test_descriptive,60.0,budget_60.0,23296,0.9843320741758241,0.6265453296703297,0.8407451923076923,0.8975360576923077,0.7465814645194168,0.6365182504033841,0.9118224237931185,14960,0.9337973179426243,0.9497582872928176,0.9417101771805187
hormuz_test_descriptive,65.0,budget_65.0,23296,0.9843320741758241,0.6266311813186813,0.8407022664835165,0.8987379807692307,0.746978590747874,0.636605468579652,0.9130434782608695,14960,0.9340351472960353,0.9497582872928176,0.9418311004579891
hormuz_test_descriptive,70.0,budget_70.0,23296,0.9843320741758241,0.6282194368131868,0.8445226648351648,0.9074948489010989,0.74956484153019,0.6382190048406088,0.9219397322401989,14960,0.9342786787806742,0.9498446132596685,0.9419973460040238
hormuz_test_descriptive,75.0,budget_75.0,23296,0.9843320741758241,0.6283482142857143,0.8455099587912088,0.9075807005494505,0.7497692209157341,0.6383498321050107,0.9220269504164668,14960,0.934511169625414,0.9497582872928176,0.9420730402020807
hormuz_test_descriptive,80.0,budget_80.0,23296,0.9843320741758241,0.6284340659340659,0.8462396978021978,0.9078382554945055,0.7500170208556154,0.6384370502812786,0.9222886049452705,14960,0.9345849970265908,0.9496719613259669,0.942068079640334
hormuz_test_descriptive,85.0,budget_85.0,23296,0.9843320741758241,0.6285628434065934,0.8468835851648352,0.9102850274725275,0.750218923693841,0.6385678775456806,0.9247743229689067,14960,0.9347382732834806,0.949585635359116,0.9421034600890716
hormuz_test_descriptive,90.0,budget_90.0,23296,0.9843320741758241,0.6284769917582418,0.8473557692307693,0.9107572115384616,0.7503505584226657,0.6384806593694126,0.9252540229383803,14960,0.9346588495199252,0.949585635359116,0.9420631182289213
hormuz_test_descriptive,95.0,budget_95.0,23296,0.9843320741758241,0.6287345467032966,0.8471840659340659,0.9109718406593407,0.7505175470645039,0.6387423138982163,0.9254720683790502,14960,0.9347382732834806,0.949585635359116,0.9421034600890716
hormuz_test_descriptive,100.0,budget_100.0,23296,0.9843320741758241,0.6290779532967034,0.8473128434065934,0.9202867445054945,0.7522125029590875,0.6390911866032881,0.934935240504121,14960,0.9349600408093861,0.9493266574585635,0.9420885804848796
hormuz_test_descriptive,105.0,budget_105.0,23296,0.9843320741758241,0.628648695054945,0.8476133241758241,0.9199862637362637,0.7521242157642786,0.6386550957219485,0.9346299768871833,14960,0.9348694838874245,0.9491540055248618,0.9419575926322553
hormuz_test_descriptive,110.0,budget_110.0,23296,0.9843320741758241,0.6286916208791209,0.8479996565934066,0.9202438186813187,0.752165284547872,0.6386987048100824,0.9348916314159871,14960,0.9348584063270686,0.9489813535911602,0.9418669408387954
hormuz_test_descriptive,115.0,budget_115.0,23296,0.9843320741758241,0.628648695054945,0.8481284340659341,0.9211023351648352,0.7523213169286236,0.6386550957219485,0.9357638131786664,14960,0.9348584063270686,0.9489813535911602,0.9418669408387954
hormuz_test_descriptive,120.0,budget_120.0,23296,0.9843320741758241,0.6283911401098901,0.8481284340659341,0.9238925137362637,0.7524422976987502,0.6383934411931447,0.9385984039073743,14960,0.9348584063270686,0.9489813535911602,0.9418669408387954
hormuz_test_descriptive,125.0,budget_125.0,23296,0.9843320741758241,0.628176510989011,0.8478708791208791,0.9246222527472527,0.7523870820404724,0.6381753957524748,0.9393397584056518,14960,0.9346716570261994,0.948549723756906,0.9415595544130249
hormuz_test_descriptive,130.0,budget_130.0,23296,0.9843320741758241,0.6278760302197802,0.8474845467032966,0.9253519917582418,0.7521758971907799,0.637870132135537,0.9400811129039292,14960,0.9347345132743363,0.9482907458563536,0.9414638327048337
hormuz_test_descriptive,135.0,budget_135.0,23296,0.9843320741758241,0.6275755494505495,0.8472699175824175,0.9256095467032966,0.752214159263164,0.6375648685185993,0.9403427674327329,14960,0.9345698970475623,0.9482044198895028,0.9413377897758923
hormuz_test_descriptive,140.0,budget_140.0,23296,0.9843320741758241,0.6274038461538461,0.8478279532967034,0.9256095467032966,0.752775985789313,0.6373904321660634,0.9403427674327329,14960,0.9345587609565144,0.9480317679558011,0.9412470537818727
hormuz_test_descriptive,145.0,budget_145.0,23296,0.9843320741758241,0.6271462912087912,0.8480425824175825,0.9254807692307693,0.7528057687180109,0.6371287776372596,0.9402119401683311,14960,0.9345531914893617,0.9479454419889503,0.9412016799520013
hormuz_test_descriptive,150.0,budget_150.0,23296,0.9843320741758241,0.6274038461538461,0.8477850274725275,0.9269402472527473,0.7529986936415299,0.6373904321660634,0.941694649164886,14960,0.9345587609565144,0.9480317679558011,0.9412470537818727
hormuz_test_descriptive,155.0,budget_155.0,23296,0.9843320741758241,0.627189217032967,0.8477850274725275,0.9270690247252747,0.7528840012730359,0.6371723867253936,0.9418254764292878,14960,0.9344736618160157,0.9479454419889503,0.9411613456181701
hormuz_test_descriptive,160.0,budget_160.0,23296,0.9843320741758241,0.6274896978021978,0.8474845467032966,0.9275841346153846,0.7530066383584872,0.6374776503423314,0.9423487854868955,14960,0.9345253299276288,0.9475138121546961,0.9409747524540272
hormuz_test_descriptive,165.0,budget_165.0,23296,0.9843320741758241,0.6274896978021978,0.8476133241758241,0.9280563186813187,0.7534202123751242,0.6374776503423314,0.9428284854563691,14960,0.9345253299276288,0.9475138121546961,0.9409747524540272
hormuz_test_descriptive,170.0,budget_170.0,23296,0.9843320741758241,0.6273609203296703,0.8476133241758241,0.9282709478021978,0.753383426454356,0.6373468230779294,0.9430465308970389,14960,0.9345197547683923,0.9474274861878453,0.9409293552812071
hormuz_test_descriptive,175.0,budget_175.0,23296,0.9843320741758241,0.6270175137362637,0.8476133241758241,0.9283567994505495,0.753311296475625,0.6369979503728577,0.9431337490733068,14960,0.9346678023850086,0.9472548342541437,0.9409192248327902
hormuz_test_descriptive,180.0,budget_180.0,23296,0.9843320741758241,0.6270604395604396,0.8479567307692307,0.9291294642857143,0.7532956989990977,0.6370415594609917,0.9439187126597183,14960,0.9345770508561206,0.947082182320442,0.9407880632851692
hormuz_test_descriptive,185.0,budget_185.0,23296,0.9843320741758241,0.6267599587912088,0.8481284340659341,0.9292582417582418,0.7532590833629043,0.6367362958440539,0.9440495399241202,14960,0.9345659027008605,0.9469095303867403,0.940697225676429
hormuz_test_descriptive,190.0,budget_190.0,23296,0.9843320741758241,0.6268458104395604,0.8487723214285714,0.9314474587912088,0.7538648289855225,0.6368235140203219,0.9462736034189525,14960,0.934412265758092,0.9469958563535912,0.9406619790773453
hormuz_test_descriptive,195.0,budget_195.0,23296,0.9843320741758241,0.6266741071428571,0.8485576923076923,0.9322630494505495,0.7537846788931027,0.636649077667786,0.9471021760934979,14960,0.9344010904753791,0.9468232044198895,0.9405711345510677
hormuz_test_descriptive,200.0,budget_200.0,23296,0.9843320741758241,0.626717032967033,0.8484718406593407,0.9346239697802198,0.7543247101568634,0.63669268675592,0.9495006759408661,14960,0.9344010904753791,0.9468232044198895,0.9405711345510677
