event_id,cap,actual_recalled,candidate_count,split
TR_71,20,1,20,train
TR_71,40,1,32,train
TR_71,80,1,32,train
TR_72,20,1,20,train
TR_72,40,1,40,train
TR_72,80,1,43,train
TR_73,20,1,20,train
TR_73,40,1,40,train
TR_73,80,1,80,train
TR_74,20,1,20,train
TR_74,40,1,40,train
TR_74,80,1,49,train
TR_75,20,1,6,train
TR_75,40,1,6,train
TR_75,80,1,6,train
TR_76,20,0,20,train
TR_76,40,1,40,train
TR_76,80,1,80,train
TR_77,20,1,14,train
TR_77,40,1,14,train
TR_77,80,1,14,train
TR_78,20,1,15,train
TR_78,40,1,15,train
TR_78,80,1,15,train
TR_79,20,1,20,train
TR_79,40,1,40,train
TR_79,80,1,46,train
TR_80,20,1,20,train
TR_80,40,1,40,train
TR_80,80,1,52,train
TR_81,20,1,20,train
TR_81,40,1,40,train
TR_81,80,1,47,train
TR_82,20,1,20,train
TR_82,40,1,40,train
TR_82,80,1,42,train
TR_83,20,1,15,train
TR_83,40,1,15,train
TR_83,80,1,15,train
TR_84,20,0,20,train
TR_84,40,0,40,train
TR_84,80,1,80,train
TR_85,20,1,20,train
TR_85,40,1,23,train
TR_85,80,1,23,train
TR_86,20,1,20,train
TR_86,40,1,40,train
TR_86,80,1,54,train
TR_87,20,1,20,train
TR_87,40,1,21,train
TR_87,80,1,21,train
TR_88,20,1,20,train
TR_88,40,1,40,train
TR_88,80,1,52,train
TR_89,20,1,15,train
TR_89,40,1,15,train
TR_89,80,1,15,train
TR_90,20,1,20,train
TR_90,40,1,40,train
TR_90,80,1,51,train
TR_91,20,1,20,train
TR_91,40,1,22,train
TR_91,80,1,22,train
TR_92,20,1,20,train
TR_92,40,1,40,train
TR_92,80,1,56,train
TR_93,20,1,15,train
TR_93,40,1,15,train
TR_93,80,1,15,train
TR_94,20,1,9,train
TR_94,40,1,9,train
TR_94,80,1,9,train
TR_95,20,1,20,train
TR_95,40,1,22,train
TR_95,80,1,22,train
TR_96,20,1,20,train
TR_96,40,1,40,train
TR_96,80,1,43,train
TR_97,20,1,20,train
TR_97,40,1,40,train
TR_97,80,1,76,train
TR_98,20,1,20,train
TR_98,40,1,40,train
TR_98,80,1,80,train
TR_99,20,1,20,train
TR_99,40,1,40,train
TR_99,80,1,64,train
TR_100,20,1,20,train
TR_100,40,1,40,train
TR_100,80,1,80,train
TR_101,20,1,20,train
TR_101,40,1,40,train
TR_101,80,1,61,train
TR_102,20,1,20,train
TR_102,40,1,40,train
TR_102,80,1,43,train
TR_103,20,1,17,train
TR_103,40,1,17,train
TR_103,80,1,17,train
TR_104,20,1,20,train
TR_104,40,1,40,train
TR_104,80,1,43,train
TR_105,20,1,20,train
TR_105,40,1,22,train
TR_105,80,1,22,train
TR_106,20,1,20,train
TR_106,40,1,40,train
TR_106,80,1,50,train
TR_107,20,1,16,train
TR_107,40,1,16,train
TR_107,80,1,16,train
TR_108,20,1,20,train
TR_108,40,1,40,train
TR_108,80,1,70,train
TR_109,20,1,20,train
TR_109,40,1,40,train
TR_109,80,1,80,train
TR_110,20,1,20,train
TR_110,40,1,40,train
TR_110,80,1,47,train
TR_111,20,1,20,train
TR_111,40,1,40,train
TR_111,80,1,48,train
TR_112,20,1,20,train
TR_112,40,1,40,train
TR_112,80,1,58,train
TR_113,20,1,20,train
TR_113,40,1,40,train
TR_113,80,1,52,train
TR_114,20,1,20,train
TR_114,40,1,22,train
TR_114,80,1,22,train
TR_115,20,1,4,train
TR_115,40,1,4,train
TR_115,80,1,4,train
TR_116,20,1,20,train
TR_116,40,1,24,train
TR_116,80,1,24,train
TR_117,20,1,20,train
TR_117,40,1,20,train
TR_117,80,1,20,train
TR_118,20,1,20,train
TR_118,40,1,40,train
TR_118,80,1,77,train
TR_119,20,1,20,train
TR_119,40,1,40,train
TR_119,80,1,67,train
TR_120,20,1,10,train
TR_120,40,1,10,train
TR_120,80,1,10,train
TR_121,20,1,20,train
TR_121,40,1,40,train
TR_121,80,1,80,train
TR_122,20,1,20,train
TR_122,40,1,40,train
TR_122,80,1,64,train
TR_123,20,1,20,train
TR_123,40,1,20,train
TR_123,80,1,20,train
TR_124,20,1,20,train
TR_124,40,1,40,train
TR_124,80,1,80,train
TR_125,20,1,20,train
TR_125,40,1,22,train
TR_125,80,1,22,train
TR_126,20,1,20,train
TR_126,40,1,40,train
TR_126,80,1,80,train
TR_127,20,1,20,train
TR_127,40,1,40,train
TR_127,80,1,43,train
TR_128,20,1,15,train
TR_128,40,1,15,train
TR_128,80,1,15,train
TR_129,20,0,20,train
TR_129,40,0,26,train
TR_129,80,0,26,train
TR_130,20,1,20,train
TR_130,40,1,40,train
TR_130,80,1,48,train
TR_131,20,1,20,train
TR_131,40,1,40,train
TR_131,80,1,50,train
TR_132,20,1,20,train
TR_132,40,1,39,train
TR_132,80,1,39,train
TR_133,20,1,20,train
TR_133,40,1,40,train
TR_133,80,1,70,train
TR_134,20,1,20,train
TR_134,40,1,40,train
TR_134,80,1,47,train
TR_135,20,1,20,train
TR_135,40,1,40,train
TR_135,80,1,80,train
TR_136,20,1,20,train
TR_136,40,1,40,train
TR_136,80,1,80,train
TR_137,20,1,15,train
TR_137,40,1,15,train
TR_137,80,1,15,train
TR_138,20,1,20,train
TR_138,40,1,27,train
TR_138,80,1,27,train
TR_139,20,1,20,train
TR_139,40,1,40,train
TR_139,80,1,55,train
TR_140,20,1,20,train
TR_140,40,1,40,train
TR_140,80,1,78,train
TR_142,20,1,20,train
TR_142,40,1,40,train
TR_142,80,1,70,train
TR_143,20,1,20,train
TR_143,40,1,40,train
TR_143,80,1,42,train
TR_144,20,1,20,train
TR_144,40,1,40,train
TR_144,80,1,42,train
TR_145,20,1,20,train
TR_145,40,1,40,train
TR_145,80,1,43,train
TR_146,20,1,10,train
TR_146,40,1,10,train
TR_146,80,1,10,train
TR_147,20,1,20,train
TR_147,40,1,40,train
TR_147,80,1,80,train
TR_148,20,1,16,train
TR_148,40,1,16,train
TR_148,80,1,16,train
TR_149,20,0,20,train
TR_149,40,0,40,train
TR_149,80,1,79,train
TR_150,20,1,20,train
TR_150,40,1,40,train
TR_150,80,1,70,train
TR_151,20,1,20,train
TR_151,40,1,40,train
TR_151,80,1,80,train
TR_152,20,1,20,train
TR_152,40,1,40,train
TR_152,80,1,42,train
TR_153,20,1,20,train
TR_153,40,1,40,train
TR_153,80,1,56,train
TR_154,20,1,20,train
TR_154,40,1,40,train
TR_154,80,1,80,train
TR_155,20,1,20,train
TR_155,40,1,40,train
TR_155,80,1,66,train
TR_156,20,1,20,train
TR_156,40,1,37,train
TR_156,80,1,37,train
TR_157,20,1,20,train
TR_157,40,1,40,train
TR_157,80,1,43,train
TR_158,20,1,15,train
TR_158,40,1,15,train
TR_158,80,1,15,train
TR_159,20,1,20,train
TR_159,40,1,39,train
TR_159,80,1,39,train
TR_160,20,1,15,train
TR_160,40,1,15,train
TR_160,80,1,15,train
TR_161,20,1,20,train
TR_161,40,1,34,train
TR_161,80,1,34,train
TR_162,20,1,20,train
TR_162,40,1,40,train
TR_162,80,1,54,train
TR_163,20,1,10,train
TR_163,40,1,10,train
TR_163,80,1,10,train
TR_164,20,1,20,train
TR_164,40,1,40,train
TR_164,80,1,45,train
TR_165,20,1,15,train
TR_165,40,1,15,train
TR_165,80,1,15,train
TR_166,20,1,20,train
TR_166,40,1,40,train
TR_166,80,1,70,train
TR_167,20,1,20,train
TR_167,40,1,40,train
TR_167,80,1,43,train
TR_168,20,1,20,train
TR_168,40,1,40,train
TR_168,80,1,46,train
TR_169,20,1,20,train
TR_169,40,1,40,train
TR_169,80,1,55,train
TR_170,20,1,15,train
TR_170,40,1,15,train
TR_170,80,1,15,train
TR_171,20,1,20,train
TR_171,40,1,21,train
TR_171,80,1,21,train
TR_172,20,1,20,train
TR_172,40,1,40,train
TR_172,80,1,80,train
TR_173,20,1,20,train
TR_173,40,1,26,train
TR_173,80,1,26,train
TR_174,20,1,20,train
TR_174,40,1,40,train
TR_174,80,1,48,train
TR_175,20,1,19,train
TR_175,40,1,19,train
TR_175,80,1,19,train
TR_177,20,1,20,train
TR_177,40,1,40,train
TR_177,80,1,80,train
TR_178,20,1,20,train
TR_178,40,1,40,train
TR_178,80,1,48,train
TR_179,20,1,20,train
TR_179,40,1,20,train
TR_179,80,1,20,train
TR_180,20,1,7,train
TR_180,40,1,7,train
TR_180,80,1,7,train
TR_181,20,1,20,train
TR_181,40,1,40,train
TR_181,80,1,43,train
TR_182,20,1,20,train
TR_182,40,1,40,train
TR_182,80,1,55,train
TR_183,20,1,20,train
TR_183,40,1,25,train
TR_183,80,1,25,train
TR_184,20,1,15,train
TR_184,40,1,15,train
TR_184,80,1,15,train
TR_185,20,1,20,train
TR_185,40,1,20,train
TR_185,80,1,20,train
TR_186,20,1,20,train
TR_186,40,1,40,train
TR_186,80,1,41,train
TR_187,20,1,20,train
TR_187,40,1,40,train
TR_187,80,1,80,train
TR_188,20,1,20,train
