frame,model,events,candidate_recall,top1_end_to_end,top3_end_to_end,top5_end_to_end,mrr_end_to_end,conditional_top1,conditional_top5,habit_change_events,change_precision,change_recall,change_f1
sealane,sealane_shortest,23296,0.9843320741758241,0.3833276098901099,0.7586710164835165,0.8271806318681318,0.5847224352357681,0.38942915703632636,0.8403471283415463,14960,0.8515144613983148,0.9683183701657458,0.9061679524982833
sealane,sealane_dcrank,23296,0.9843320741758241,0.6266311813186813,0.8483430631868132,0.9312757554945055,0.7536799794980792,0.636605468579652,0.9460991670664166,14960,0.9344010904753791,0.9468232044198895,0.9405711345510677
greatcircle,greatcircle_shortest,23296,0.9882383241758241,0.4377146291208791,0.7427455357142857,0.8222441620879121,0.6173176287071991,0.44292415949960906,0.8320302319520458,14960,0.8739717522893062,0.9722030386740331,0.9204740498569677
greatcircle,greatcircle_dcrank,23296,0.9882383241758241,0.6380065247252747,0.8877918956043956,0.9459563873626373,0.7693358237561401,0.6455998610025193,0.9572148379810616,14960,0.9392571136479809,0.9517437845303868,0.9454592230511963
oracle,oracle_shortest,23296,1.0,0.3833276098901099,0.7586710164835165,0.8272235576923077,0.5851632295174882,0.3833276098901099,0.8272235576923077,14960,0.8515144613983148,0.9683183701657458,0.9061679524982833
oracle,oracle_dcrank,23296,1.0,0.6266311813186813,0.8483430631868132,0.9313186813186813,0.7546321218409919,0.6266311813186813,0.9313186813186813,14960,0.9344010904753791,0.9468232044198895,0.9405711345510677
