model,split,rows,refuel_events,refuel_rate,roc_auc,pr_auc,log_loss,brier
normal_frozen,hormuz_post,245912,22491,0.09145954650444062,0.8446645899228822,0.38347388698644524,0.24558507651814962,0.07034147045709085
hormuz_pre_updated,hormuz_post,245912,22491,0.09145954650444062,0.8804182967833165,0.4546097074037282,0.22300593567087823,0.06471497125740235
redsea_plus_hormuz_pre,hormuz_post,245912,22491,0.09145954650444062,0.8828855839415171,0.46517741339462504,0.21591026234332195,0.06351157859721762
normal_frozen,redsea_late,171927,12989,0.075549506476586,0.8991351609220978,0.4555683319180779,0.18008680775983066,0.05308383512140127
redsea_early_updated,redsea_late,171927,12989,0.075549506476586,0.917913495870801,0.512543316589924,0.1647548038574738,0.04934318911076595
