rep,model,events,candidate_recall,top1_end_to_end,top3_end_to_end,top5_end_to_end,mrr_end_to_end,conditional_top1,conditional_top5,habit_change_events,change_precision,change_recall,change_f1
0,shuffle,23296,0.9843320741758241,0.2242445054945055,0.5289749313186813,0.6959993131868132,0.4228195522805547,0.22781387641184422,0.7070777550041428,14960,0.8152134912091855,0.9806629834254144,0.890317018691955
1,shuffle,23296,0.9843320741758241,0.22682005494505494,0.5328811813186813,0.6988324175824175,0.4255156031336617,0.23043042169988226,0.7099559548209847,14960,0.8179788230209609,0.9803176795580111,0.891820787686025
2,shuffle,23296,0.9843320741758241,0.2253176510989011,0.5303056318681318,0.6983602335164835,0.4240351159110237,0.2289041036151934,0.709476254851511,14960,0.8179269695227142,0.9823031767955801,0.8926106055851898
3,shuffle,23296,0.9843320741758241,0.22398695054945056,0.5314217032967034,0.6947544642857143,0.42351187634808773,0.22755222188304042,0.7058130914482578,14960,0.8167757715272282,0.9801450276243094,0.8910339415342359
4,shuffle,23296,0.9843320741758241,0.2207245879120879,0.5314646291208791,0.6944110576923077,0.42213107197968674,0.22423793118485894,0.7054642187431861,14960,0.8171687396649652,0.9811809392265194,0.8916957596202879
5,shuffle,23296,0.9843320741758241,0.2224845467032967,0.5339543269230769,0.6975446428571429,0.42322129330230435,0.22602590379835158,0.7086476821769657,14960,0.8154886028618681,0.9790227900552486,0.8898042446353615
6,shuffle,23296,0.9843320741758241,0.22720638736263737,0.5307348901098901,0.6930803571428571,0.42522139503317147,0.23082290349308796,0.7041123370110332,14960,0.8166798362186625,0.9814399171270718,0.8915114683395413
7,shuffle,23296,0.9843320741758241,0.22523179945054944,0.5330099587912088,0.7003348214285714,0.4247138810406117,0.22881688543892548,0.7114822729056736,14960,0.8170169881946444,0.979799723756906,0.8910346993248548
8,shuffle,23296,0.9843320741758241,0.22574690934065933,0.5337396978021978,0.6966861263736264,0.42517807094260274,0.2293401944965331,0.7077755004142864,14960,0.8181295377758608,0.9824758287292817,0.8928025102961364
9,shuffle,23296,0.9843320741758241,0.22991071428571427,0.5356713598901099,0.6987894917582418,0.4280774849999916,0.23357027604552788,0.7099123457328508,14960,0.8190195090346267,0.9821305248618785,0.893189401373896
10,shuffle,23296,0.9843320741758241,0.22566105769230768,0.535413804945055,0.697501717032967,0.4252848950024002,0.22925297632026514,0.7086040730888317,14960,0.8157459952589613,0.9803176795580111,0.8904920603803176
11,shuffle,23296,0.9843320741758241,0.2239010989010989,0.5312070741758241,0.6954842032967034,0.42298252726368096,0.2274650037067725,0.7065544459465353,14960,0.8172398906317456,0.9804903314917127,0.8914527902048505
12,shuffle,23296,0.9843320741758241,0.22312843406593408,0.5322802197802198,0.693123282967033,0.4224667344445288,0.22668004012036108,0.7041559460991671,14960,0.815721464465183,0.9809219613259669,0.8907266598730109
